f,imp,feature_name
f304,,log_feature_feature 141
f305,,log_feature_feature 150
f306,,log_feature_feature 152
f307,,log_feature_feature 153
f308,,log_feature_feature 154
f309,,log_feature_feature 155
f310,,log_feature_feature 157
f311,,log_feature_feature 160
f312,,log_feature_feature 161
f313,,log_feature_feature 163
f314,,log_feature_feature 167
f315,,log_feature_feature 168
f316,75.0,log_feature_feature 170
f317,,log_feature_feature 171
f318,21.0,log_feature_feature 172
f319,60.0,log_feature_feature 179
f320,3.0,log_feature_feature 181
f321,,log_feature_feature 182
f322,,log_feature_feature 183
f323,,log_feature_feature 187
f324,,log_feature_feature 188
f325,,log_feature_feature 191
f326,20.0,log_feature_feature 193
f327,4.0,log_feature_feature 195
f328,6.0,log_feature_feature 196
f329,,log_feature_feature 197
f330,,log_feature_feature 198
f331,,log_feature_feature 20
f332,32.0,log_feature_feature 201
f333,38.0,log_feature_feature 202
f334,195.0,log_feature_feature 203
f335,,log_feature_feature 204
f336,,log_feature_feature 205
f337,,log_feature_feature 206
f338,,log_feature_feature 207
f339,17.0,log_feature_feature 209
f340,,log_feature_feature 211
f341,,log_feature_feature 212
f342,,log_feature_feature 217
f343,,log_feature_feature 218
f344,54.0,log_feature_feature 219
f345,,log_feature_feature 220
f346,63.0,log_feature_feature 221
f347,,log_feature_feature 222
f348,,log_feature_feature 223
f349,52.0,log_feature_feature 227
f350,28.0,log_feature_feature 228
f351,4.0,log_feature_feature 229
f352,3.0,log_feature_feature 230
f353,,log_feature_feature 231
f354,265.0,log_feature_feature 232
f355,162.0,log_feature_feature 233
f356,25.0,log_feature_feature 234
f357,176.0,log_feature_feature 235
f358,,log_feature_feature 236
f359,,log_feature_feature 239
f360,,log_feature_feature 240
f361,15.0,log_feature_feature 273
f362,,log_feature_feature 276
f363,,log_feature_feature 277
f364,,log_feature_feature 278
f365,,log_feature_feature 280
f366,,log_feature_feature 283
f367,,log_feature_feature 284
f368,,log_feature_feature 285
f369,,log_feature_feature 289
f370,,log_feature_feature 290
f371,,log_feature_feature 291
f372,,log_feature_feature 293
f373,84.0,log_feature_feature 301
f374,,log_feature_feature 303
f375,,log_feature_feature 304
f376,,log_feature_feature 305
f377,1.0,log_feature_feature 306
f378,142.0,log_feature_feature 307
f379,1.0,log_feature_feature 308
f380,13.0,log_feature_feature 309
f381,15.0,log_feature_feature 310
f382,,log_feature_feature 311
f383,356.0,log_feature_feature 312
f384,166.0,log_feature_feature 313
f385,19.0,log_feature_feature 314
f386,106.0,log_feature_feature 315
f387,,log_feature_feature 316
f388,,log_feature_feature 318
f389,15.0,log_feature_feature 345
f390,,log_feature_feature 349
f391,,log_feature_feature 35
f392,,log_feature_feature 353
f393,,log_feature_feature 354
f394,,log_feature_feature 358
f395,,log_feature_feature 359
f396,,log_feature_feature 360
f397,,log_feature_feature 362
f398,,log_feature_feature 368
f399,,log_feature_feature 370
f400,,log_feature_feature 374
f401,,log_feature_feature 375
f402,,log_feature_feature 376
f403,,log_feature_feature 378
f404,,log_feature_feature 38
f405,,log_feature_feature 39
f406,,log_feature_feature 42
f407,,log_feature_feature 44
f408,,log_feature_feature 46
f409,,log_feature_feature 47
f410,,log_feature_feature 51
f411,,log_feature_feature 52
f412,109.0,log_feature_feature 54
f413,20.0,log_feature_feature 55
f414,25.0,log_feature_feature 56
f415,,log_feature_feature 62
f416,,log_feature_feature 63
f417,,log_feature_feature 65
f418,9.0,log_feature_feature 66
f419,56.0,log_feature_feature 68
f420,,log_feature_feature 70
f421,67.0,log_feature_feature 71
f422,39.0,log_feature_feature 73
f423,1.0,log_feature_feature 74
f424,,log_feature_feature 75
f425,,log_feature_feature 76
f426,,log_feature_feature 8
f427,70.0,log_feature_feature 80
f428,25.0,log_feature_feature 81
f429,157.0,log_feature_feature 82
f430,,log_feature_feature 83
f431,,log_feature_feature 84
f432,,log_feature_feature 85
f433,,log_feature_feature 86
f434,,log_feature_feature 87
f435,,log_feature_feature 94
f436,,log_feature_feature 95
f437,278.0,rare_log_feature
f438,3029.0,max_log_feature_cat
f439,4131.0,median_log_feature_cat
f440,2957.0,min_log_feature_cat
f441,1.0,log_feature_cat_0
f442,2.0,log_feature_cat_1
f443,3.0,log_feature_cat_2
f444,,log_feature_cat_3
f445,,log_feature_cat_4
f446,,log_feature_cat_5
f447,,log_feature_cat_6
f448,20.0,log_feature_cat_7
f449,62.0,log_feature_cat_8
f450,23.0,log_feature_cat_9
f451,1075.0,log_feature_cat_10
f452,441.0,log_feature_cat_11
f453,99.0,log_feature_cat_12
f454,596.0,log_feature_cat_13
f455,830.0,log_feature_cat_14
f456,80.0,log_feature_cat_15
f457,2911.0,log_feature_cat_16
f458,143.0,log_feature_cat_17
f459,9.0,log_feature_cat_18
f460,8.0,log_feature_cat_19
f461,8.0,log_feature_cat_20
f462,3.0,log_feature_cat_21
f463,2.0,log_feature_cat_22
f464,1.0,log_feature_cat_23
f465,,log_feature_cat_24
f466,15.0,log_feature_cat_25
f467,292.0,log_feature_cat_26
f468,42.0,log_feature_cat_27
f469,7.0,log_feature_cat_28
f470,,log_feature_cat_29
f471,49.0,log_feature_cat_30
f472,186.0,log_feature_cat_31
f473,53.0,log_feature_cat_32
f474,84.0,log_feature_cat_33
f475,1628.0,log_feature_cat_34
f476,221.0,log_feature_cat_35
f477,177.0,log_feature_cat_36
f478,50.0,log_feature_cat_37
f479,397.0,log_feature_cat_38
